area_id,latitude,longitude
E02000001,51.51915,-0.09469
E02000002,51.58415,0.13462
E02000003,51.57215,0.13945
E02000004,51.56046,0.17726
E02000005,51.56118,0.1428
E02000007,51.55579,0.15504
E02000008,51.55273,0.13506
E02000009,51.55125,0.11659
E02000010,51.5473,0.14972
E02000011,51.54449,0.16541
E02000012,51.54404,0.10005
E02000013,51.54249,0.12149
E02000014,51.53964,0.14578
E02000015,51.53932,0.16052
E02000016,51.53997,0.07606
E02000017,51.53981,0.08693
E02000018,51.53792,0.11475
E02000019,51.53565,0.13234
E02000020,51.53118,0.09626
E02000021,51.53173,0.15507
E02000022,51.53187,0.08037
E02000023,51.52797,0.11079
E02000024,51.65418,-0.20341
E02000025,51.65195,-0.18085
E02000026,51.64964,-0.15818
E02000027,51.64527,-0.20461
E02000028,51.64492,-0.17752
E02000029,51.64313,-0.16485
E02000030,51.6451,-0.22135
E02000031,51.63204,-0.1737
E02000032,51.63187,-0.14034
E02000033,51.62732,-0.14949
E02000034,51.62314,-0.16384
E02000035,51.62096,-0.18207
E02000036,51.62301,-0.26396
E02000037,51.6222,-0.28092
E02000038,51.6146,-0.15492
E02000039,51.61571,-0.24428
E02000040,51.61254,-0.21547
E02000041,51.61358,-0.27198
E02000042,51.61236,-0.17773
E02000043,51.61125,-0.19299
E02000044,51.60923,-0.2544
E02000045,51.6051,-0.14867
E02000046,51.6023,-0.18898
E02000047,51.60353,-0.26367
E02000048,51.60217,-0.21336
E02000049,51.6023,-0.24602
E02000050,51.60027,-0.17589
E02000051,51.59494,-0.19844
E02000052,51.5923,-0.17012
E02000054,51.59233,-0.23203
E02000055,51.58808,-0.22276
E02000056,51.58477,-0.17785
E02000057,51.58361,-0.2163
E02000058,51.58255,-0.19795
E02000059,51.57955,-0.24127
E02000060,51.57753,-0.20819
E02000061,51.57094,-0.19639
E02000062,51.56812,-0.22027
E02000063,51.56503,-0.21109
E02000064,51.56212,-0.20073
E02000065,51.50811,0.12644
E02000066,51.49371,0.12915
E02000067,51.48904,0.14708
E02000068,51.48487,0.17227
E02000069,51.48306,0.1593
E02000070,51.48015,0.13605
E02000071,51.47435,0.15705
E02000072,51.47265,0.1885
E02000073,51.47225,0.12582
E02000074,51.46903,0.17737
E02000075,51.46947,0.14146
E02000077,51.46752,0.11518
E02000078,51.46617,0.16718
E02000079,51.45893,0.1379
E02000080,51.45978,0.10366
E02000081,51.45737,0.15751
E02000082,51.45775,0.08969
E02000083,51.45188,0.18318
E02000084,51.45249,0.12913
E02000085,51.44825,0.1083
E02000086,51.44557,0.09496
E02000087,51.44329,0.14857
E02000088,51.43972,0.12218
E02000089,51.43732,0.08621
E02000090,51.43007,0.09778
E02000091,51.42698,0.11063
E02000092,51.42031,0.12714
E02000093,51.59375,-0.2744
E02000094,51.5881,-0.25888
E02000095,51.58462,-0.28112
E02000096,51.58084,-0.30338
E02000097,51.57565,-0.26161
E02000098,51.57417,-0.28729
E02000099,51.56894,-0.30066
E02000100,51.56853,-0.31671
E02000101,51.56538,-0.26952
E02000102,51.56503,-0.24819
E02000103,51.56316,-0.23349
E02000104,51.56265,-0.292
E02000105,51.55868,-0.31228
E02000106,51.55834,-0.24996
E02000107,51.5561,-0.21909
E02000108,51.5569,-0.32478
E02000110,51.55281,-0.23107
E02000111,51.55157,-0.30284
E02000112,51.55284,-0.28892
E02000113,51.54888,-0.26325
E02000114,51.54742,-0.22905
E02000115,51.54676,-0.21069
E02000116,51.54812,-0.23739
E02000117,51.54442,-0.25012
E02000118,51.5443,-0.29012
E02000119,51.54067,-0.26182
E02000120,51.54011,-0.20008
E02000121,51.54125,-0.29779
E02000122,51.5402,-0.22187
E02000123,51.53654,-0.24606
E02000124,51.53375,-0.21335
E02000125,51.53373,-0.22843
E02000126,51.53275,-0.1971
E02000127,51.42931,0.04619
E02000128,51.42277,0.06663
E02000130,51.4179,-0.05057
E02000131,51.41606,-0.0709
E02000132,51.4143,-0.02842
E02000133,51.41088,0.05568
E02000134,51.41138,0.01576
E02000135,51.41227,-0.06045
E02000136,51.40533,0.09462
E02000137,51.40651,-0.0025
E02000138,51.40781,-0.01735
E02000139,51.4078,-0.04451
E02000140,51.40328,0.10769
E02000141,51.40596,-0.05808
E02000142,51.404,0.03252
E02000144,51.39936,0.01375
E02000145,51.39482,0.11979
E02000146,51.39445,0.03483
E02000147,51.39389,-0.00117
E02000148,51.39219,0.05828
E02000149,51.39045,0.10245
E02000150,51.39269,-0.03208
E02000151,51.38606,0.08002
E02000152,51.38598,0.0477
E02000153,51.38239,0.00895
E02000154,51.37957,0.09695
E02000155,51.37895,0.11283
E02000156,51.37613,-0.01393
E02000157,51.37298,0.07751
E02000158,51.37128,0.11504
E02000159,51.36981,0.04533
E02000160,51.36914,0.00672
E02000161,51.36386,0.09173
E02000162,51.36138,0.06903
E02000163,51.35432,0.09974
E02000165,51.311,0.02752
E02000166,51.56287,-0.14674
E02000167,51.55733,-0.17347
E02000168,51.55552,-0.14143
E02000169,51.55615,-0.1871
E02000170,51.55349,-0.19983
E02000171,51.55295,-0.15927
E02000172,51.54989,-0.14913
E02000173,51.54996,-0.17362
E02000174,51.54915,-0.13576
E02000175,51.54956,-0.19169
E02000176,51.54769,-0.16826
E02000177,51.54628,-0.15295
E02000178,51.54669,-0.19999
E02000179,51.54441,-0.16484
E02000180,51.54422,-0.13051
E02000181,51.54384,-0.18734
E02000182,51.54215,-0.17537
E02000183,51.54053,-0.15277
E02000184,51.53887,-0.13625
E02000185,51.53892,-0.18783
E02000186,51.53502,-0.1418
E02000187,51.5325,-0.1326
E02000188,51.52872,-0.14116
E02000191,51.52223,-0.13402
E02000192,51.52178,-0.11326
E02000193,51.51795,-0.12424
E02000194,51.41596,-0.0863
E02000195,51.41563,-0.10394
E02000196,51.40854,-0.1157
E02000197,51.40701,-0.12556
E02000198,51.40534,-0.09948
E02000199,51.40319,-0.09235
E02000200,51.40152,-0.08013
E02000201,51.39913,-0.06998
E02000202,51.39876,-0.11071
E02000203,51.397,-0.09908
E02000204,51.39498,-0.11724
E02000206,51.39183,-0.09136
E02000207,51.39002,-0.06961
E02000208,51.38778,-0.10732
E02000209,51.38699,-0.12341
E02000210,51.38485,-0.07799
E02000211,51.38483,-0.04535
E02000212,51.38295,-0.11304
E02000213,51.38198,-0.0992
E02000214,51.38031,-0.06758
E02000215,51.37885,-0.08417
E02000216,51.37153,-0.08328
E02000217,51.37201,-0.10976
E02000218,51.36936,-0.02923
E02000219,51.37216,-0.04506
E02000221,51.36179,-0.1117
E02000222,51.35863,-0.09125
E02000223,51.35296,-0.02001
E02000224,51.34955,-0.09913
E02000225,51.34702,-0.01417
E02000226,51.34688,-0.06453
E02000227,51.34657,-0.04493
E02000228,51.33997,-0.08458
E02000229,51.33814,-0.00826
E02000230,51.33937,-0.11281
E02000231,51.33239,-0.13335
E02000232,51.32579,-0.06795
E02000233,51.32619,-0.10851
E02000234,51.32183,-0.1297
E02000235,51.32078,-0.09523
E02000236,51.31624,-0.15072
E02000237,51.30362,-0.11796
E02000238,51.55386,-0.34852
E02000239,51.55219,-0.32944
E02000240,51.55113,-0.37127
E02000241,51.5476,-0.36366
E02000242,51.54027,-0.31145
E02000243,51.53806,-0.3471
E02000244,51.5365,-0.32743
E02000245,51.53511,-0.38207
E02000246,51.53539,-0.39608
E02000247,51.53377,-0.36957
E02000248,51.52915,-0.29193
E02000249,51.52835,-0.35233
E02000250,51.52591,-0.3092
E02000251,51.52622,-0.3641
E02000252,51.52226,-0.2611
E02000253,51.52281,-0.33702
E02000254,51.52081,-0.37278
E02000255,51.51983,-0.32538
E02000256,51.5161,-0.31519
E02000258,51.51498,-0.27131
E02000259,51.51559,-0.33789
E02000260,51.51284,-0.37293
E02000261,51.50989,-0.25162
E02000262,51.5092,-0.26871
E02000263,51.51089,-0.38452
E02000264,51.50904,-0.28476
E02000265,51.5089,-0.32494
E02000266,51.50846,-0.36033
E02000267,51.5067,-0.3377
E02000268,51.50459,-0.30104
E02000269,51.50441,-0.316
E02000270,51.50313,-0.27208
E02000271,51.50087,-0.25829
E02000272,51.50119,-0.32507
E02000275,51.49905,-0.37634
E02000276,51.49645,-0.30921
E02000277,51.67692,-0.03568
E02000278,51.67307,-0.04506
E02000279,51.67038,-0.02393
E02000280,51.66604,-0.08444
E02000281,51.66402,-0.06148
E02000282,51.66351,-0.04682
E02000283,51.66034,-0.03681
E02000284,51.65974,-0.08641
E02000285,51.65907,-0.07187
E02000286,51.65688,-0.09757
E02000287,51.65133,-0.15049
E02000288,51.6489,-0.04686
E02000289,51.64898,-0.11784
E02000290,51.64716,-0.03686
E02000291,51.64622,-0.07324
E02000292,51.64415,-0.06465
E02000293,51.64321,-0.09593
E02000294,51.63907,-0.04604
E02000295,51.63925,-0.11874
E02000296,51.63896,-0.13374
E02000297,51.63604,-0.07958
E02000298,51.63356,-0.10129
E02000299,51.63173,-0.05286
E02000300,51.63046,-0.0646
E02000301,51.62637,-0.04917
E02000302,51.62388,-0.09403
E02000303,51.62296,-0.06892
E02000304,51.62389,-0.12267
E02000305,51.62204,-0.10654
E02000306,51.62043,-0.05894
E02000307,51.61965,-0.08006
E02000308,51.61436,-0.13439
E02000309,51.61271,-0.05978
E02000311,51.61268,-0.09841
E02000312,51.61214,-0.11575
E02000313,51.50432,0.11558
E02000314,51.50095,0.09488
E02000315,51.49375,0.11314
E02000317,51.48876,0.05237
E02000318,51.48731,0.09401
E02000319,51.48765,0.08403
E02000320,51.48697,0.11272
E02000321,51.48593,0.07758
E02000323,51.48393,0.0698
E02000324,51.48293,0.03653
E02000326,51.48159,0.02805
E02000327,51.47993,0.06314
E02000328,51.48058,0.01342
E02000329,51.47663,0.08729
E02000331,51.47466,0.041
E02000332,51.4746,0.06846
E02000333,51.47167,0.01994
E02000334,51.46839,0.03853
E02000335,51.46256,0.05833
E02000337,51.45918,0.04203
E02000339,51.45614,0.05598
E02000340,51.44788,0.06273
E02000341,51.44656,0.03552
E02000342,51.44395,0.08074
E02000343,51.4327,0.05408
E02000344,51.43255,0.06699
E02000345,51.57416,-0.07016
E02000346,51.57145,-0.09147
E02000347,51.57028,-0.08089
E02000348,51.56943,-0.06925
E02000350,51.56417,-0.06801
E02000351,51.5643,-0.0972
E02000352,51.56366,-0.08424
E02000353,51.56073,-0.07542
E02000354,51.55756,-0.06053
E02000355,51.55621,-0.05038
E02000356,51.5559,-0.08541
E02000357,51.5532,-0.03491
E02000358,51.55424,-0.07574
E02000359,51.55246,-0.0409
E02000360,51.55089,-0.06352
E02000361,51.54747,-0.05499
